Run,ReleaseDate,LoadDate,spots,bases,spots_with_mates,avgLength,size_MB,AssemblyName,download_path,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,g1k_pop_code,source,g1k_analysis_group,Subject_ID,Sex,Disease,Tumor,Affection_Status,Analyte_Type,Histological_Type,Body_Site,CenterName,Submission,dbgap_study_accession,Consent,RunHash,ReadHash
SRR13300647,2021-07-30 12:53:01,2020-12-24 15:27:00,8901858,1798175316,8901858,202,652,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-1/SRR013/13300/SRR13300647/SRR13300647.lite.1,SRX9729652,G132031,WGS,RANDOM,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP299228,PRJNA685168,3,685168,SRS7922436,SAMN17083045,simple,256318,metagenome,G132031,,,,,,,no,,,,,XAVIER,SRA1171447,,public,D56E919C35C957CA277C59C985D120D6,3C9789F5D67D83EF5717A00CD9DDC9BE
SRR13300658,2021-07-30 12:53:00,2020-12-24 15:27:38,10096969,2039587738,10096969,202,710,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-1/SRR013/13300/SRR13300658/SRR13300658.lite.1,SRX9729641,G132032,WGS,RANDOM,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP299228,PRJNA685168,3,685168,SRS7922425,SAMN17082955,simple,256318,metagenome,G132032,,,,,,,no,,,,,XAVIER,SRA1171447,,public,B67A2238543A12CB8AF66ABACE25993B,FF186F045530AA62D1174F44C85BF852
SRR13300687,2021-07-30 12:53:00,2020-12-24 15:30:14,8182135,1652791270,8182135,202,601,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-1/SRR013/13300/SRR13300687/SRR13300687.lite.1,SRX9729612,G132049,WGS,RANDOM,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP299228,PRJNA685168,3,685168,SRS7922396,SAMN17082984,simple,256318,metagenome,G132049,,,,,,,no,,,,,XAVIER,SRA1171447,,public,81AF7D6D131579410B18D37342417732,679F98919A97E5E48564B427133F846E
SRR13300686,2021-07-30 12:53:00,2020-12-24 15:29:42,8407280,1698270560,8407280,202,615,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-1/SRR013/13300/SRR13300686/SRR13300686.lite.1,SRX9729613,G132050,WGS,RANDOM,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP299228,PRJNA685168,3,685168,SRS7922397,SAMN17082983,simple,256318,metagenome,G132050,,,,,,,no,,,,,XAVIER,SRA1171447,,public,46D9ED10CF403B209F62F7578FC849F5,3DE8584E742F4C90D4AD4EC0E6CB7B6B
SRR13300685,2021-07-30 12:53:00,2020-12-24 15:29:14,9228810,1864219620,9228810,202,643,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-1/SRR013/13300/SRR13300685/SRR13300685.lite.1,SRX9729614,G132203,WGS,RANDOM,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP299228,PRJNA685168,3,685168,SRS7922398,SAMN17082982,simple,256318,metagenome,G132203,,,,,,,no,,,,,XAVIER,SRA1171447,,public,6EA7C0414BDBAE9B17EB595CE5F7B575,9AFC12CBA75DC220E2331C545B888546
SRR13300645,2021-07-30 12:53:01,2020-12-24 15:25:27,10152715,2050848430,10152715,202,728,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-1/SRR013/13300/SRR13300645/SRR13300645.lite.1,SRX9729654,G132204,WGS,RANDOM,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP299228,PRJNA685168,3,685168,SRS7922438,SAMN17083043,simple,256318,metagenome,G132204,,,,,,,no,,,,,XAVIER,SRA1171447,,public,431B665E3FF8654B5F165A3A5B532D9E,5715FCDF202596EF6D5D293DFFEFD794
SRR13300689,2021-07-30 12:53:00,2020-12-24 15:31:08,11621904,2347624608,11621904,202,823,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-1/SRR013/13300/SRR13300689/SRR13300689.lite.1,SRX9729610,G132205,WGS,RANDOM,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP299228,PRJNA685168,3,685168,SRS7922394,SAMN17082986,simple,256318,metagenome,G132205,,,,,,,no,,,,,XAVIER,SRA1171447,,public,0E1EB6659A0048D9697FF44E7C275FF5,775364530A6C188F33A4155ED934902F
SRR13300690,2021-07-30 12:53:00,2020-12-24 15:32:41,13611260,2749474520,13611260,202,966,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-1/SRR013/13300/SRR13300690/SRR13300690.lite.1,SRX9729609,G132207,WGS,RANDOM,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP299228,PRJNA685168,3,685168,SRS7922393,SAMN17082987,simple,256318,metagenome,G132207,,,,,,,no,,,,,XAVIER,SRA1171447,,public,2EDC20322BE47FE7F757393BB20D3242,1D95018D82F2F7CEABFF5DDBAC79DF3E
SRR13300646,2021-07-30 12:53:01,2020-12-24 15:25:36,9784315,1976431630,9784315,202,1022,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-1/SRR013/13300/SRR13300646/SRR13300646.lite.1,SRX9729653,G146259,WGS,RANDOM,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP299228,PRJNA685168,3,685168,SRS7922437,SAMN17083044,simple,256318,metagenome,G146259,,,,,,,no,,,,,XAVIER,SRA1171447,,public,C1373591457CCC12FA9D38FBB467C02B,1D0EA4799DC4104DF34A0183D3960C30
SRR13300688,2021-07-30 12:53:00,2020-12-24 15:30:02,7427495,1500353990,7427495,202,769,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-1/SRR013/13300/SRR13300688/SRR13300688.lite.1,SRX9729611,G146273,WGS,RANDOM,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP299228,PRJNA685168,3,685168,SRS7922395,SAMN17082985,simple,256318,metagenome,G146273,,,,,,,no,,,,,XAVIER,SRA1171447,,public,EFD3FC66EF39AC7DA0BA8CD0EA401A28,0E8FE42AD7B30DD991DC7D36B6AF33AE
